InteriorDescTheme1,,누군가의 소중했던 다기들이 물결을 따라 신비로운 풍경을 자아내는 분위기에요.,"It is an atmosphere where someone’s cherished teaware flows along the waves, creating a mysterious landscape."
InteriorDescTheme2,,무지개 빛깔의 둥근 산호들과 불가사리들이 어우러진 화사하고 생기 넘치는 정원의 느낌을 줘요.,It gives the feeling of a bright and lively garden with rainbow-colored round corals and starfish harmonizing.
InteriorDescTheme3,,세월의 흔적을 품은 커다란 이끼 바위들이 물고기들에게 아늑한 휴식처를 내어주는 분위기에요.,The atmosphere is one where large mossy rocks bearing the traces of time provide a cozy resting place for the fish.
InteriorDescTheme4,,장엄한 조각상과 부서진 신전의 기둥들이 쓸쓸한 심해의 오랜 전설을 조용히 들려주는 듯해요.,The majestic statues and the pillars of the broken temple seem to quietly tell the ancient legends of the lonely deep sea.
InteriorDescTheme5,,오래전 바다를 항해하던 낡은 목선과 나무통들이 바닷속 친구들의 포근한 놀이터가 되어주는 느낌이에요.,It feels like the old wooden boats and barrels that sailed the seas long ago are becoming a cozy playground for their underwater friends.
InteriorDescTheme6,,바위틈 사이로 흐르는 황금빛 마그마가 차갑고 깊은 물속을 모닥불처럼 아늑하게 밝혀주는 분위기에요.,"The atmosphere is one where golden magma flowing through the crevices of the rocks warmly illuminates the cold, deep water like a cozy campfire."
InteriorDescTheme7,,은은한 핑크빛과 연하늘색으로 빛나는 조개 산호들이 몽환적이고 사랑스러운 바닷속 풍경을 보여줘요.,Shell corals shining in soft pink and light blue hues create a dreamy and lovely underwater scene.
InteriorDescTheme8,,버려진 그물과 밧줄들이 물살에 둥글게 뭉쳐져 바다가 빚어낸 한 편의 예술 작품을 보는 듯한 분위기에요.,"The discarded nets and ropes are clumped together by the current, creating an atmosphere that feels like looking at a work of art crafted by the sea."
SettingMessageTitle,UI,설정,Settings
SettingCategoryGeneral,UI,일반 설정,General
SettingDropdownLanguage,UI,언어,Language
SettingCategorySound,UI,사운드 설정,Sound
SettingSliderBGM,UI,배경음,BGM
SettingSliderAMB,UI,환경음,AMB
SettingSliderSFX,UI,효과음,SFX
SettingCategoryRecord,UI,음반 설정,Record
SettingToggleBackgroundPlay,UI,백그라운드 재생,Play in Background
SettingToggleAutoPlayDefault,UI,기본 음반 자동 재생,Auto-play Default Record
SettingCategoryScreen,UI,화면 설정,Display
SettingDropdownMonitor,UI,모니터 설정,Display Monitor
SettingDropdownMonitorIndex,UI,{0}번 모니터,Monitor {0}
SettingToggleAlwaysOnTop,UI,게임 창 최상단 고정,Always on Top
SettingButtonSave,UI,게임 저장,Save Game
SettingButtonExit,UI,게임 종료,Exit Game
QuestCategoryStore,퀘스트 ui 카테고리,상점,Store
QuestCategoryFishing,퀘스트 ui 카테고리,낚시,Fishing
QuestCategoryJournal,퀘스트 ui 카테고리,도감,Journal
QuestCategoryGrowing,퀘스트 ui 카테고리,성장,Growing
QuestCategoryComplete,퀘스트 ui 카테고리,완료,Complete
JournalCategoryFish,도감 UI 카테고리,어종,Fish
JournalCategoryCostume,,코스튬,Costume
JournalCategoryInterior,,인테리어,Interior
JournalCategoryRecord,,음반,Record
JournalCategoryFood,,음식,Food
JournalDropdownAll,도감 UI 정렬,전체,All
JournalDropdownUnlocked,,등록,Unlocked
JournalDropdownLocked,,미등록,Locked
JournalFishGrade,어종 등급,등급,Grade
JournalFishGradeNormal,,일반,Normal
JournalFishGradeRare,,고급,Rare
JournalFishGradeEpic,,희귀,Epic
JournalFishGradeLegendary,,전설,Legendary
JournalFishSeason,계절,계절,Season
JournalFishSeasonSpring,,봄,Spring
JournalFishSeasonSummer,,여름,Summer
JournalFishSeasonAutumn,,가을,Autumn
JournalFishSeasonWinter,,겨울,Winter
JournalFishSeasonAll,,모든 계절,All
JournalFishType,서식지,서식,Type
JournalFishTypeLake,,민물,Lake
JournalFishTypeSea,,바다,Sea
JournalFishSize,기록,최고 기록,Best Size
JournalCostumeType,의상 부의,장착 파츠,Type
JournalCostumeTypeHead,,머리 장식,Head
JournalCostumeTypeBody,,한벌옷,Body
JournalLocationType,배치 공간,배치 공간,Type
JournalLocationTypeIsland,,섬,Island
JournalLocationTypeLake,,호수,Lake
JournalFoodGrade,음식 등급,등급,Grade
JournalFoodGradeNormal,,일반,Normal
JournalFoodGradeRare,,고급,Rare
JournalFoodGradeEpic,,희귀,Epic
JournalFoodGradeLegendary,,전설,Legendary
JournalFoodEffect,섭취시 효과,효과,Buff
JournalFoodEffectHungerBuff,,배고픔 지수,HungerBuff
JournalFoodEffectDoongdoongBuff,,둥둥 지수,DoongDoongBuff
JournalRecordArtist,아티스트,아티스트,Artist
JournalRecordBGTheme,배경음,테마,Theme
JournalRecordBGGeneral,,기본,General
JournalRecordBGSpring,,봄,Spring
JournalRecordBGSummer,,여름,Summer
JournalRecordBGAutumn,,가을,Autumn
JournalRecordBGWinter,,겨울,Winter
JournalRecordBGCollaboration,,콜라보,Collaboration
QuestButtonGet,퀘스트 ui 버튼,받기,Get
QuestButtonContinuing,,진행중,Continuing
InteriorObjectMoveBtn,섬꾸미기 오브젝트 버튼ui,이동,Move
InteriorObjectRemoveBtn,섬꾸미기 오브젝트 버튼ui,회수,Remove
InteriorObjectCancelBtn,섬꾸미기 오브젝트 버튼ui,취소,Cancel
InteriorObjectRotateBtn,섬꾸미기 오브젝트 버튼ui,회전,Rotate
InteriorGlobalRemoveAllBtn,섬꾸미기 메인 버튼 ui,전체회수,RemoveAll
InteriorGlobalResetLayoutBtn,섬꾸미기 메인 버튼 ui,초기화,ResetLayout
InteriorGlobalSaveLayoutBtn,섬꾸미기 메인 버튼 ui,저장,SaveLayout
InteriorGlobalRemoveAllBtnText,섬꾸미기 메인 버튼 ui,초기화 진행 시 배치된 인테리어는 전부 회수됩니다. 계속하시겠습니까?,All placed interior items will be collected when resetting. Do you want to continue?
InteriorGlobalRemoveAllBtnYes,섬꾸미기 메인 버튼 ui,예,Yes
InteriorGlobalResetLayoutPopupText,섬꾸미기 메인 버튼 ui,마지막 저장 상태로 되돌리시겠습니까?,Do you want to revert to the last saved state?
InteriorGlobalResetLayoutBtnYes,섬꾸미기 메인 버튼 ui,예,Yes
InteriorGlobalSaveLayoutBtnText,섬꾸미기 메인 버튼 ui,배치 내용을 저장하시겠습니까?,Do you want to save your current placement?
InteriorGlobalSaveLayoutBtnYes,섬꾸미기 메인 버튼 ui,예,Yes
InteriorGlobalExitLayoutBtnText,섬꾸미기 메인 버튼 ui,아직 배치가 저장되지 않았습니다. 저장 하시고 나가시겠습니까?,Your placement has not been saved yet. Do you want to save before exiting?
InteriorSaveExitBtnText,섬꾸미기 메인 버튼 ui,저장하고 나가기,Save and Exit
InteriorExitNoSaveBtnText,섬꾸미기 메인 버튼 ui,저장하지 않고 나가기,Exit Without Saving
InteriorCancelBtnText,섬꾸미기 메인 버튼 ui,취소,Cancel
InteriorPostBoxTitle,우체통 ui,우편물 제목,Mail Subject
InteriorPostBoxContent,우체통 ui,우편물 내용,Mail Content
InteriorPostBoxDate,우체통 ui,우편물 기간,Mail Duration
InteriorPostBoxCloseBtn,우체통 팝업 버튼,닫기,Close
InteriorPostBoxRemoveAllBtn,우체통 ui ,모두 삭제,Delete All
InteriorPostBoxClaimAllBtn,우체통 ui ,모두 받기,Claim All
InteriorPostBoxMailEmpty,우체통 ui ,도착한 우편이 없습니다.,No mail available.
InteriorPostBoxClaimBtn,우체통 팝업 버튼,받기,Claim
InteriorPostBoxCancelBtn,우체통 팝업 버튼,취소하기,Cancel
InteriorPostBoxDeleteAll,우체통 popup text,메일 전체 삭제,Delete All Mail
InteriorPostBoxDeleteAllConfirmDesc,우체통 popup text,읽은 우편과 보상을 수령한 모든 우편이 삭제됩니다.\n삭제하시겠습니까?,All read mails and mails with claimed rewards will be deleted.\nDo you want to proceed?
InteriorPostBoxClaimAll,우체통 popup text,메일 전체 수령,Claim All Mail
InteriorPostBoxClaimAllConfirmDesc,우체통 popup text,모든 재화보상을 수령하시겠습니까?,Do you want to claim all rewards?
IslandInteriorShopFilterAllText,인테리어 상점 UI 드롭다운,모든 아이템,All
CostumeShopFilterAllText,코스튬 상점 UI 드롭다운,모든 아이템,All
FishingItemShopFilterAllText,낚시 아이템 상점 UI 드롭다운,모든 아이템,All
InteriorBoxCategoryFishing,보관함 ui,물고기 탭,Fish Tab
InteriorBoxCategoryFood,보관함 ui,음식 탭,Food Tab
InteriorBoxSortDefaultOption,보관함 ui,보관함 정렬,Storage Sort
InteriorBoxFilterDropdown,보관함 ui,보관함 필터,Storage Filter
InteriorBoxSortByRecent,보관함 ui,최근 획득순,Recently Acquired
InteriorBoxSortByGradeDesc,보관함 ui,등급 높은 순,Highest Grade
InteriorBoxSortByGradeAsc,보관함 ui,등급 낮은 순,Lowest Grade
InteriorBoxSortByNameAsc,보관함 ui,이름 순,Name Order
InteriorBoxUpgradeBtn,보관함 ui,보관함 확장하기,Expand Storage
InteriorBoxUpgrade,보관함 확장 ui,보관함을 확장하시겠습니까?,Would you like to expand the storage?
InteriorBoxUpgradeExpand,보관함 확장 ui,예,Yes
InteriorBoxUpgradeNo,보관함 확장 ui,아니요,No
InteriorBoxUpgradeComplete,보관함 ui,창고가 Lv.{0}로 확장되었습니다. (총{0}칸),Storage has been expanded to Lv. {0}. (Total {0} slots)
InteriorBoxUpgradeCostGold,보관함 업그레이드 골드,소모 골드 : {0},Cost: {0} Gold
InteriorBoxMaxExpansion,보관함 확장 ,최대 확장 완료,Max Expansion Reached
InteriorBoxNotEnoughGold,보관함 골드 부족,코인이 부족합니다,Not enough coins.
LakeInteriorBuyBtn,호수인테리어 상점ui,구매,Buy
LakeInteriorTitleApplyBtn,호수인테리어 상점ui,적용,Apply
LakeInteriorTitleApplied,호수인테리어 상점ui,적용 중,Applied
LakeInteriorPopupConfirm,호수인테리어 상점ui,현재 장착 중인 테마가 해제되고 새로운 테마 세트가 적용됩니다. 적용하시겠습니까?,Are you sure you want to apply the new theme set? The currently equipped theme will be unequipped.
LakeInteriorPopupYes,호수인테리어 상점ui,예,Yes
LakeInteriorPopupNo,호수인테리어 상점ui,아니요,No
ShopPopupComplete,상점 uistring,거래 성공,Transaction Completed
ShopButtonClose,,닫기,Close
QuestPopupComplete,퀘스트 보상획득 stringui,보상 획득,Get rewards
StartMainTitle,최초 실행 도움말,둥둥 아일랜드 입국 가이드,DoongDoong Island Entry Guide
StartSubTitle01,,지켜만 봐도 즐거운 섬의 일상 (자동 조작),The daily life of an island that is enjoyable just to watch (Automatic operation)
StartSubTitle02,,당신의 손길로 완성되는 섬 (수동 조작),An island completed by your touch (manual operation)
StartContent01,,"<b>낚시와 판매</b>: 곰돌이가 스스로 낚시를 하고 잡은 물고기를 판매하여 골드를 벌어옵니다. 특정 조건에서는 평소에 볼 수 없던 희귀한 물고기가 등장하기도 합니다.\n<b>식사와 휴식</b>: 배고픔 수치가 낮아지면 직접 낚은 물고기로 요리를 만들어 먹고, 스테미나가 떨어지면 잠을 자며 스스로 체력을 보충합니다.\n<b>둥둥 지수와 성장</b>: 든든하게 먹고 휴식할수록 '둥둥 지수'가 오르며, 캐릭터의 외형이 4단계로 오동통하게 변화하는 모습을 감상할 수 있습니다.\n<b>실시간 생태계</b>: 4주마다 바뀌는 계절과 날씨, 그리고 시간의 흐름에 따른 화면의 색조 변화가 실시간으로 반영됩니다.\n<b>도감 자동 등록</b>: 낚시, 요리 등을 통해 새로운 아이템을 처음 획득하면 도감에 자동으로 기록됩니다.","<b>Fishing and Selling</b>: The bear fishes on its own and earns gold by selling its catch. Under certain conditions, rare fish may even make an appearance.\n <b>Eating and Resting</b>: When hungry, the bear cooks and eats fish dishes; when low on energy, it takes a nap to restore its strength.\n <b>Index and Growth</b>: The better it eats and rests, the higher the 'Floating Index' rises, and you can watch the character grow plump through four stages.\n <b>Real-time Ecosystem</b>: Changes in seasons and weather every four weeks, along with screen color tones that shift with the passage of time, are all reflected in real-time.\n <b>Automatic Encyclopedia</b>: When you acquire a new item for the first time through fishing or cooking, it is automatically recorded in the encyclopedia.\n"
StartContent02,,"<b>위젯 최적화</b>: 게임 화면을 클릭해 데스크탑 원하는 위치로 옮기고, 모서리를 드래그해 16:9 비율을 유지하며 위젯 크기를 자유롭게 조절하세요.\n<b>상점과 꾸미기</b>: 골드로 상점에서 인테리어 소품을 구매해 섬과 호수 공간을 나만의 스타일로 자유롭게 꾸며보세요.\n<b>코스튬 교체</b>: 머리 장식, 한벌옷, 낚싯대까지 3가지 슬롯을 내 마음대로 조합하여 곰돌이에게 가장 잘 어울리는 옷을 입혀줄 수 있습니다.\n<b>음반 해금 및 관리</b>: 낚시로 얻은 조각을 모아 새로운 음반을 해금하세요. 취향에 맞는 곡을 선택하고 볼륨을 조절해 최적의 '곰멍' 환경을 만드세요.\n<b>도감 확인</b>: 도감의 빈 실루엣(???)을 채우며 아이템의 상세 정보를 확인하는 성취감을 느껴보세요.\n<b>퀘스트 달성</b>: 섬 생활 중 주어지는 다양한 퀘스트 미션을 완료하고, 성장에 필요한 보상을 획득할 수 있습니다.","<b>Widget Optimization</b>: Click the screen to move the widget and drag corners to resize it while maintaining a 16:9 ratio.\n<b>Shop and Decoration</b>: Purchase items with gold to decorate your island and lake.\n<b>Costume Change</b>: Customize your bear by combining headpieces, outfits, and fishing rods.\n<b>Unlock and Manage Albums</b>: Collect fragments to unlock albums, then select songs and adjust the volume.\n<b>Check the Encyclopedia</b>: Feel the sense of accomplishment as you fill in the empty silhouettes (???) in the encyclopedia and check the detailed information of items.\n<b>Complete Quests</b>: Finish missions to obtain rewards for growth."
UpgradeMainTitle,업그레이드 도움말,캐릭터 상태 이용 가이드,Character Status Guide
UpgradeSubTitle01,,캐릭터 업그레이드,Character Upgrade
UpgradeSubTitle02,,캐릭터 상태,Character Status
UpgradeContent01,,캐릭터가 벌어온 소중한 재화들로 캐릭터의 능력들을 키워보세요!\n<b>{HungerStatDes}</b>이 떨어지면 캐릭터는 요리를 꺼내 먹어요!\n<b>{StaminaStatDes}</b>가 부족하면 캐릭터도 쉬어야 해요!\n<b>{MoveSpeedStatDes}</b> 업그레이드를 통해 더 활동적인 캐릭터를 만날 수 있어요!\n<b>{FishingSpeedStatDes}</b> 업그레이드를 통해 더 빨리 물고기를 낚아 올릴 수 있어요!\n<b>{RestSpeedStatDes}</b> 업그레이드를 통해 안락한 환경에서 더 편안히 쉴 수 있어요!,"Enhance your character's abilities with the valuable resources they have earned!\nWhen <b>{HungerStatDes}</b> runs low, your character takes out food to eat!\nWhen <b>{StaminaStatDes}</b> is low, your character needs to rest too!\nYou can meet a more active character through <b>{MoveSpeedStatDes}</b> upgrades!\nYou can catch fish faster through <b>{FishingSpeedStatDes}</b> upgrades!\nYou can rest more comfortably in a cozy environment through <b>{RestSpeedStatDes}</b> upgrades!"
UpgradeContent02,,<b>{HungerStatDes}</b>와 <b>{StaminaStatDes}</b>를 통해 캐릭터의 상태를 확인해보세요!\n여유롭고 한적한 생활을 통해 바뀌는 캐릭터를 관찰할 수 있어요!,Check your character's status through <b>{HungerStatDes}</b> and <b>{StaminaStatDes}</b>! You can observe your character changing through a relaxed and peaceful life!
ShopMainTitle,상점 도움말,상점 이용 가이드,Store Guide
ShopSubTitle01,,코스튬 및 낚시 장비 장착하기,Equipping Costumes and Fishing Gear
ShopSubTitle02,,섬 꾸미기 (섬 인테리어),Island Decoration (Island Interior)
ShopSubTitle03,,호수 배경 바꾸기 (호수 인테리어),Change Lake Background (Lake Interior)
ShopSubTitle04,,레시피 해금,Unlock recipes
ShopSubTitle05,,수량 조절 기능,Quantity control function
ShopContent01,,"코스튬 상점이나 낚시 상점에서 구매한 아이템은 해당 상점에서 아이템을 다시 클릭한 뒤, 팝업창의 [장착] 버튼을 눌러 바로 착용할 수 있습니다.\n이미 장착 중인 아이템을 클릭하면 장착 버튼이 [해제] 버튼으로 변경되어 쉽게 벗을 수 있습니다.","Items purchased from the Costume Shop or Fishing Shop can be equipped immediately by clicking the item again in the respective shop and pressing the [Equip] button in the pop-up window.\nIf you click an item that is already equipped, the equip button changes to an [Unequip] button, allowing you to easily remove it."
ShopContent02,,섬을 꾸밀 수 있는 아이템을 구매하셨나요? 해당 아이템들은 섬 꾸미기 모드에서 확인 가능하며 자유롭게 배치할 수 있습니다.,Have you purchased items to decorate your island? These items can be viewed in Island Decoration Mode and placed freely.
ShopContent03,,호수 테마는 개별 아이템이 아닌 '세트'로 적용됩니다.\n구매하신 후 [적용하기] 버튼을 누르면 전체 호수 배경이 한 번에 변경됩니다.\n만약 원래대로 돌리고 싶다면 '기본 호수' 테마를 다시 적용해 주세요.,"The lake theme is applied as a 'set' rather than as individual items.\nAfter purchasing, pressing the [Apply] button will change the entire lake background at once. If you wish to revert to the original, please reapply the 'Default Lake' theme."
ShopContent04,,레시피 상점에서 구매한 레시피는 따로 장착하거나 사용할 필요가 없습니다.\n구매 완료 즉시 자동으로 요리 레시피가 해금되어 적용됩니다.,Recipes purchased from the Recipe Shop do not need to be equipped or used separately. The cooking recipe is automatically unlocked and applied immediately upon completion of the purchase.
ShopContent05,,"아이템을 여러 개 구매하거나 판매할 때는 수량 조절 버튼(-/+)을 누르거나, [최대] 버튼을 눌러 한 번에 쉽게 거래할 수 있습니다.","When buying or selling multiple items, you can easily trade them all at once by pressing the quantity adjustment buttons (-/+) or the [Max] button."
DecorationMainTitle,꾸미기 도움말,섬 꾸미기 이용 가이드,Island Decoration User Guide
DecorationSubTitle01,,배치 가능한 장식물,Placeable decorations
DecorationSubTitle02,,바닥 타일 색상 알아보기,Find out about floor tile colors
DecorationSubTitle03,,아이템 조작 방법,How to manipulate items
DecorationSubTitle04,,화면 상단 메뉴 활용하기,Using the top menu
DecorationContent01,,"<b>고정 장식물</b>: 위치가 고정되어 있어 옮길 수는 없지만, 원하는 디자인으로 교체 할 수 있습니다.\n<b>자유 장식물</b>: 마당의 빈 공간이라면 어디든 내 마음대로 자유롭게 놓을 수 있는 아이템입니다.","<b>Fixed Decoration</b>: Its position is fixed and cannot be moved, but it can be replaced with a design of your choice.\n<b>Free Decoration</b>: This is an item that can be placed freely anywhere in the yard as long as there is empty space."
DecorationContent02,,"<b>흰색(비어 있음)<b>: 아무것도 놓여있지 않은 빈 타일입니다.\n<b>초록색(배치 가능)</b>: 타일 위로 아이템을 가져갔을 때 나타나며, 클릭해서 아이템을 내려놓을 수 있습니다.\n<b>파란색(이동 가능)</b>: 이미 유저가 배치한 장식물이 있는 곳으로, 클릭해서 위치를 옮길 수 있습니다.\n<b>빨간색(배치 불가)</b>: 집처럼 건드릴 수 없는 고정 영역이거나, 공간이 좁아 다른 아이템과 겹칠 때 나타납니다.","<b>White (Empty)<b>: An empty tile with nothing placed on it.\n<b>Green (Placeable)</b>: Appears when you drag an item over the tile; you can click to drop the item.\n<b>Blue (Movable)</b>: A location already occupied by a decoration placed by the user; you can click to move its position.\n<b>Red (Cannot be placed)</b>: Appears when the area is fixed and cannot be touched, such as a house, or when the space is too narrow to overlap with other items."
DecorationContent03,,"<b>이동하기</b>: 이미 바닥에 놓인 단일 아이템을 클릭하고, 우측 상단의 [이동] 버튼을 누르면 다른 곳으로 옮길 수 있습니다.\n<b>회전하기</b>: 아이템을 클릭한 뒤 [회전] 버튼을 누르거나 키보드의 [R] 키를 누르면 시계 방향으로 90도씩 회전합니다.\n<b>회수하기</b>: 설치된 아이템을 다시 보관함으로 넣을 수 있습니다.\n<b>작업 취소하기</b>: 아이템을 옮기거나 돌리던 중에 상단의 [취소] 버튼을 누르거나 빈 공간을 클릭하면 하던 행동이 취소됩니다.","<b>Move</b>: Click a single item already placed on the floor and press the [Move] button in the top right corner to move it to another location.\n<b>Rotate</b>: Click an item and press the [Rotate] button or the [R] key on the keyboard to rotate it 90 degrees clockwise.\n<b>Retrieve</b>: You can put installed items back into the inventory.\n<b>Cancel</b>: If you press the [Cancel] button at the top or click an empty space while moving or rotating an item, the action will be canceled."
DecorationContent04,,"<b>저장</b>: 예쁘게 꾸민 섬의 최종 모습을 저장합니다.\n<b>전체 회수</b>: 마당에 꺼내둔 모든 자유 장식물을 한 번에 싹 치워서 보관함으로 되돌립니다.\n<b>초기화</b>: 꾸미기를 처음부터 다시 하고 싶다면, 마지막으로 저장했던 배치 상태로 되돌릴 수 있습니다.\n<b>나가기</b>: 꾸미기를 끝내고 메인 화면으로 돌아갑니다. 만약 변경 사항을 저장하지 않았다면, 저장할지 묻는 창이 뜨니 실수로 날릴 걱정은 하지 않으셔도 됩니다.","<b>Save</b>: Saves the final appearance of your beautifully decorated island.\n<b>Remove All</b>: Removes all free decorations placed in the yard at once and returns them to your inventory.\n<b>Reset</b>: If you want to start decorating again from scratch, you can revert to the last saved layout.\n<b>Exit</b>: Finish decorating and return to the main screen. If you have not saved your changes, a window asking if you want to save will appear, so you do not have to worry about accidentally losing them."
BoxMainTitle,보관함 도움말,보관함 이용 가이드,Locker Usage Guide
BoxSubTitle01,,물고기 보관함,Fish storage box
BoxSubTitle02,,요리 보관함,Cooking storage box
BoxContent01,,"물고기를 획득하면 이곳에서 확인할 수 있습니다!\n물고기를 클릭해서 물고기의 정보를 확인할 수 있습니다.\n보관함이 5칸 이상 비워져 있어야, 낚시를 시작합니다.\n보관함은 골드를 사용해 업그레이드를 할 수 있습니다.",You can check the fish you catch here! Click on the fish to view its information.\nYou must have at least 5 empty slots in your inventory to start fishing. You can upgrade your inventory using gold.
BoxContent02,,요리를 획득하면 이곳에서 확인할 수 있습니다!\n요리를 클릭해서 요리의 정보를 확인할 수 있습니다.\n배고픔 수치가 20이하인 경우 곰은 식사를 합니다!,You can check the dishes you acquire here! Click on a dish to view its information.\nThe bear will eat if its hunger level is 20 or lower!
RecordMainTitle,음반 도움말,음반 이용 가이드,Album User Guide
RecordSubTitle01,,음반 해금하기,Unlocking albums
RecordSubTitle02,,배경 음반과 환경 음반,Background records and environmental records
RecordSubTitle03,,나만의 플레이리스트,My own playlist
RecordSubTitle04,,자동 재생 및 백그라운드 재생,Autoplay and background playback
RecordContent01,,낚시로 얻은 '음반 조각' 3개를 모아 새로운 음반을 해금할 수 있어요.\n해금하기 전에 [미리 듣기] 버튼을 누르면 60초 동안 음반의 분위기를 먼저 느껴볼 수 있답니다.,"You can unlock a new album by collecting 3 'Album Fragments' obtained through fishing.\nBefore unlocking, you can press the [Preview] button to get a feel for the album's atmosphere for 60 seconds."
RecordContent02,,배경 음반과 환경 음반은 서로 어우러지며 함께 겹쳐서 재생할 수 있어요.\n그날의 기분이나 섬의 날씨에 맞춰 자유롭게 조합하며 심리적인 안정감을 극대화해 보세요.,Background and environment records blend together and can be played overlaid.\nFreely combine them to match your mood or the island's weather to maximize your sense of psychological stability.
RecordContent03,,"마음에 쏙 드는 음반은 하트 아이콘을 눌러 즐겨찾기에 예쁘게 담아보세요.\n플레이리스트는 최대 10개까지 만들 수 있고, 순차나 반복, 셔플 등 내가 원하는 방식으로 편안하게 감상할 수 있어요.","Tap the heart icon to beautifully add your favorite albums to your favorites.\nYou can create up to 10 playlists and enjoy them comfortably in your preferred way, such as sequential, repeat, or shuffle."
RecordContent04,,"설정에서 [기본 음반 자동 재생 옵션]을 켜두면, 섬의 시간과 날씨, 계절에 꼭 맞는 음반이 자연스럽게 흘러나와요.\n[백그라운드 재생] 옵션을 켜면 창을 잠시 내려두더라도 끊김 없이 잔잔한 사운드를 감상할 수 있답니다.","If you enable the [Default Album Auto-play Option] in the settings, albums perfectly matching the island's time, weather, and season will play naturally.\nIf you enable the [Background Playback] option, you can enjoy soothing sounds without interruption even if you minimize the window for a moment."
JournalMainTitle,도감 도움말,도감 이용 가이드,Pokedex User Guide
JournalSubTitle01,,특징,characteristic
JournalSubTitle02,,카테고리별 수집 팁,Collection Tips by Category
JournalSubTitle03,,주요 기능 안내,Guide to Key Features
JournalContent01,,"<b>자동 등록</b>: 낚시, 상점, 퀘스트, 요리 등을 통해 아이템을 처음 획득하면 도감에 자동으로 기록됩니다.\n<b>영구 소장</b>: 한 번 등록된 아이템은 판매하거나 사용하여 보유 개수가 0이 되어도 도감에서 사라지지 않습니다.\n<b>발견의 재미</b>: 아직 발견하지 못한 아이템은 실루엣(???)으로 표시됩니다. 다양한 활동을 통해 실루엣을 밝혀보세요!","<b>Automatic Registration</b>: Items are automatically recorded in the Codex when you first acquire them through fishing, shops, quests, cooking, etc.\n<b>Permanent Ownership</b>: Once registered, items will not disappear from the Codex even if you sell or use them until your inventory reaches zero.\n<b>Fun of Discovery</b>: Items you have not yet discovered are displayed as silhouettes (???). Try to uncover these silhouettes through various activities!"
JournalContent02,,"<b>어종</b>: 새로운 물고기를 잡으면 등록되며, 중복 획득 시 '최고 길이' 기록이 갱신됩니다.\n<b>코스튬 & 인테리어</b>: 파츠별 의상이나 섬 꾸미기 오브젝트를 획득하여 나만의 스타일을 수집하세요.\n<b>음반</b>: 낚시로 얻은 '음반 조각' 3개를 모으면 원하는 음악을 해금하여 LP플레이어로 감상할 수 있습니다.\n<b>음식</b>: 요리 시스템을 통해 새로운 레시피의 결과물을 완성하면 등록됩니다.","<b>Fish Species</b>: New fish are registered when caught, and the 'Longest Length' record is updated upon duplicate acquisition.\n<b>Costumes & Interior</b>: Collect your own style by acquiring costumes by part or island decoration objects.\n<b>Records</b>: Collect 3 'Record Fragments' obtained through fishing to unlock music of your choice and listen to it on an LP player.\n<b>Food</b>: New recipes are registered when completed through the cooking system."
JournalContent03,,"<b>상세 정보 보기</b>: 도감에서 해금된 아이템 이미지를 클릭하면 등급, 설명 등 자세한 정보를 확인할 수 있습니다.\n<b>목록 정렬</b>: 우측 상단의 [전체/등록/미등록/] 필터를 활용해 수집 현황을 한눈에 파악할 수 있습니다.\n<b>히든 요소</b>: 특정 계절이나 시간대에만 나타나는 '히든 어종'이 존재 합니다. 특별한 순간을 놓치지 마세요!",<b>View Details</b>: Click on an unlocked item image in the encyclopedia to view detailed information such as grade and description.\n<b>Sort List</b>: Use the [All/Registered/Unregistered/] filters at the top right to check your collection status at a glance.\n<b>Hidden Elements</b>: There are 'hidden fish species' that appear only during specific seasons or times. Don't miss out on these special moments!
QuestMainTitle,퀘스트 도움말,퀘스트 이용 가이드,Quest Guide
QuestSubTitle01,,따로 수락할 필요 없는 자동 퀘스트,Automatic quests that do not need to be accepted separately
QuestSubTitle02,,보상 받기,Get rewarded
QuestSubTitle03,,달성 기록은 계속 누적,Achievement records continue to accumulate
QuestSubTitle04,,완료한 퀘스트 다시 보기,Revisit completed quests
QuestContent01,,"둥둥 아일랜드의 퀘스트는 유저분이 직접 수락 버튼을 누르지 않아도, 낚시를 하거나 상점을 이용하다 보면 자동으로 조건이 채워지며 진행됩니다.","DoongDoong Island quests progress automatically as conditions are met while fishing or using the shop, even if the user does not manually press the accept button."
QuestContent02,,퀘스트의 요구 조건을 달성하면 게이지가 가득 차고 [받기] 버튼이 활성화됩니다.\n활성화된 버튼을 클릭해서 잊지 말고 보상을 획득하세요.,"Once you meet the quest requirements, the gauge will fill up and the [Receive] button will become active.\nDon't forget to click the active button to claim your reward."
QuestContent03,,"""물고기 10마리 낚기"" 퀘스트를 완료하고 다음 단계인 ""50마리 낚기"" 퀘스트가 등장하더라도 걱정하지 마세요. 0마리부터 다시 시작하는 것이 아니라, 지금까지 잡았던 기록이 그대로 누적되어 10마리부터 이어서 카운트됩니다.","Do not worry even if the next step, the ""Catch 50 Fish"" quest, appears after you complete the ""Catch 10 Fish"" quest. You will not start over from 0; instead, your past catches will accumulate and continue counting from 10."
